sep=;;;;;;
email;password;full_name;username;bio;role;expires_at
hocsinh1@demo.com;Hocsinh123;Nguyễn Văn A;nguyenvana;Tôi là học sinh lớp 12;user;31/12/2026
hocsinh2@demo.com;Hocsinh123;Trần Thị B;tranthib;Tôi là học sinh lớp 12;user;31/12/2026
hocsinh3@demo.com;Hocsinh123;Lê Văn C;levanc;Tôi là học sinh lớp 12;user;31/12/2026
hocsinh4@demo.com;Hocsinh123;Nguyễn Văn A;nguyenvana;Tôi là học sinh lớp 12;user;31/12/2026
hocsinh5@demo.com;Hocsinh123;Trần Thị B;tranthib;Tôi là học sinh lớp 12;user;31/12/2026
hocsinh6@demo.com;Hocsinh123;Lê Văn C;levanc;Tôi là học sinh lớp 12;user;31/12/2026
hocsinh7@demo.com;Hocsinh123;Nguyễn Văn A;nguyenvana;Tôi là học sinh lớp 12;user;31/12/2026
hocsinh8@demo.com;Hocsinh123;Trần Thị B;tranthib;Tôi là học sinh lớp 12;user;31/12/2026
hocsinh9@demo.com;Hocsinh123;Lê Văn C;levanc;Tôi là học sinh lớp 12;user;31/12/2026
hocsinh10@demo.com;Hocsinh123;Nguyễn Văn A;nguyenvana;Tôi là học sinh lớp 12;user;31/12/2026
hocsinh11@demo.com;Hocsinh123;Trần Thị B;tranthib;Tôi là học sinh lớp 12;user;31/12/2026
hocsinh12@demo.com;Hocsinh123;Lê Văn C;levanc;Tôi là học sinh lớp 12;user;31/12/2026
hocsinh13@demo.com;Hocsinh123;Nguyễn Văn A;nguyenvana;Tôi là học sinh lớp 12;user;31/12/2026
hocsinh14@demo.com;Hocsinh123;Trần Thị B;tranthib;Tôi là học sinh lớp 12;user;31/12/2026
hocsinh15@demo.com;Hocsinh123;Lê Văn C;levanc;Tôi là học sinh lớp 12;user;31/12/2026
hocsinh16@demo.com;Hocsinh123;Nguyễn Văn A;nguyenvana;Tôi là học sinh lớp 12;user;31/12/2026
hocsinh17@demo.com;Hocsinh123;Trần Thị B;tranthib;Tôi là học sinh lớp 12;user;31/12/2026
hocsinh18@demo.com;Hocsinh123;Lê Văn C;levanc;Tôi là học sinh lớp 12;user;31/12/2026
hocsinh19@demo.com;Hocsinh123;Nguyễn Văn A;nguyenvana;Tôi là học sinh lớp 12;user;31/12/2026
hocsinh20@demo.com;Hocsinh123;Trần Thị B;tranthib;Tôi là học sinh lớp 12;user;31/12/2026
hocsinh21@demo.com;Hocsinh123;Lê Văn C;levanc;Tôi là học sinh lớp 12;user;31/12/2026
hocsinh22@demo.com;Hocsinh123;Nguyễn Văn A;nguyenvana;Tôi là học sinh lớp 12;user;31/12/2026
hocsinh23@demo.com;Hocsinh123;Trần Thị B;tranthib;Tôi là học sinh lớp 12;user;31/12/2026
hocsinh24@demo.com;Hocsinh123;Lê Văn C;levanc;Tôi là học sinh lớp 12;user;31/12/2026
hocsinh25@demo.com;Hocsinh123;Nguyễn Văn A;nguyenvana;Tôi là học sinh lớp 12;user;31/12/2026
